x_pos,y_pos,z_pos,x_angle,y_angle,bullet_x,bullet_y,bullet_z,body_x,body_y,body_z
219.57,8.0,22.15,5.57,1.58,225.1736,7.891464,75.58064,-2.577789643964934e-07,-1.4123297660262324e-05,-2.6469018621355644e-07
251.28,8.0,22.4,0.0,0.0,251.296,7.879364,64.94276,-4.381698204269924e-07,-5.267530923447339e-06,-1.1778192643419061e-08
240.0,7.99,141.69,352.09,0.61,234.0845,7.917546,187.205,5.601964858215069e-06,-2.0038321508764056e-06,7.957942216307856e-06
47.74,8.0,84.85,0.0,0.0,47.76175,7.905993,127.386,4.1104533465841087e-07,-4.3883341049877345e-07,5.069281314717955e-07
14.01,8.0,99.8,352.47,-0.14,8.678469,7.908757,140.8709,-2.6822162908501923e-06,-1.51886633830145e-05,1.440743062630645e-06
262.26,8.0,251.49,0.0,0.0,262.22,7.849488,294.0289,-1.944205649806463e-07,-5.12149335918366e-06,-3.2470640576320875e-07
248.55,8.0,104.45,0.0,0.0,248.6282,7.918361,146.9919,-1.7054625232049148e-06,-8.537734288438514e-07,9.338148743154306e-08
147.97,7.97,66.23,32.29,0.9,174.2202,7.827716,107.8463,-1.9776860426645726e-05,-3.073584593948908e-05,-5.976409283903195e-06
217.08,8.0,182.29,0.0,0.0,217.1012,7.885735,224.8282,-2.5861718313535675e-06,-3.0144046831992455e-06,-2.1087136303776788e-07
141.66,7.98,21.87,16.29,1.88,157.5496,7.907861,75.50909,-5.896373295399826e-06,-1.2743235856760293e-05,-2.6679765952053458e-08
31.59,8.0,157.11,0.0,0.0,31.43041,7.933416,199.6458,5.973080533294706e-06,-8.693825748196105e-07,1.8676293223052198e-07
64.26,7.99,68.7,346.12,-2.06,56.48305,7.928823,99.02114,1.4796724826737773e-05,3.573609319573734e-07,-2.3252766823134152e-06
249.07,8.0,181.06,0.0,0.0,249.0362,7.914052,223.6032,8.510115208082425e-07,-8.577337098358839e-07,8.00412465196132e-08
241.69,8.0,233.76,326.49,-0.54,220.2049,7.91919,266.4432,-5.602889245892584e-07,-2.4652706997585483e-05,7.470517857655068e-07
106.44,8.0,210.91,0.0,0.0,106.4601,7.889051,253.4476,9.725847576191882e-07,-3.4121756016247673e-06,-1.6675265612775547e-07
27.75,8.0,246.19,0.0,0.0,27.58707,7.893004,288.7253,1.0863936950045172e-06,-6.397466677299235e-06,-3.668559713787545e-07
60.8,7.97,144.47,17.03,-0.55,72.1968,7.911236,181.9464,-1.0745426379799028e-06,-4.843568240175955e-05,2.9557929792645155e-06
26.22,8.0,241.43,0.0,0.0,26.16807,7.908793,283.9736,-1.715164785309753e-06,1.9006820650702139e-07,2.668042782261182e-07
204.77,7.99,211.17,17.1,-4.65,211.1955,7.876137,232.5251,-8.87588885234436e-06,-1.063718855220941e-06,4.770102350448724e-06
50.76,8.0,245.16,0.0,0.0,50.90534,7.889971,287.6953,-5.065945970272878e-06,-1.013856262943591e-06,-1.3873822126697632e-06
146.02,7.99,231.5,25.4,0.42,165.0469,7.919034,272.0001,-5.154767677595373e-06,-1.450545823900029e-06,2.0010322714369977e-06
12.79,8.0,40.67,0.0,0.0,12.71844,7.89291,83.20943,1.2887894627056085e-06,-5.9649505601555575e-06,-4.983623398402415e-07
